Ticker,positive_sentiment,negative_sentiment,low_price,high_price
AAPL,461,373,332.5800,356.5600
ABBV,1,0,90.7800,98.2000
ABC,1,0,92.9000,103.3700
ABMD,1,0,236.3500,260.4500
ABT,4,0,87.0500,92.4000
ADBE,1,5,397.0000,429.2700
ADM,5,0,38.0400,41.6700
ADS,1,0,46.8200,56.3150
ADSK,2,0,218.7600,243.7600
AEE,4,3,69.7200,74.7500
AEP,2,0,79.6600,84.0150
AIG,5,8,31.1200,35.5000
AIZ,1,0,103.2400,111.7100
AKAM,2,3,99.0500,102.8950
AMAT,1,0,54.5200,62.3300
AMD,3,2,52.4128,56.0700
AMGN,1,0,213.8601,239.0700
AMP,1,0,141.5100,158.0400
AMZN,49,44,2508.0000,2697.4300
AON,5,0,177.2100,194.8600
APA,5,1,13.0100,15.5400
APH,1,0,91.8100,100.9200
ATVI,0,2,71.2700,76.7500
AVY,1,0,109.0700,119.8900
AWK,2,0,124.7300,132.6750
AXP,6,0,97.6200,109.0600
BA,4,5,175.8900,208.3000
BAC,143,45,23.6900,26.2400
BAX,1,0,82.4600,86.0100
BBY,16,9,75.2300,84.3300
BEN,1,0,21.0100,23.1500
BK,6,1,36.8500,39.8500
BLK,1,0,515.7200,566.9800
BMY,1,0,54.0700,57.3600
BSX,3,0,34.1000,37.4400
CAH,1,0,51.2500,55.0400
CAT,10,34,118.0100,132.4400
CB,1,3,120.1900,134.0700
CBOE,0,1,97.2600,103.2800
CF,12,15,28.0500,31.1000
CI,2,0,182.3610,196.8500
CMCSA,1,0,38.5400,41.0500
CME,2,0,171.1800,179.8600
CMG,6,6,971.0000,1042.8800
COF,2,0,66.1500,75.3600
COG,1,5,18.4100,19.8350
COO,2,0,275.7300,309.0050
COP,2,0,40.8500,45.9000
COST,7,1,293.8394,302.7400
CPB,1,2,46.6800,49.8600
CSCO,5,2,43.9300,47.4900
CSX,5,1,67.4400,72.5700
CTXS,2,0,139.1333,148.7500
CVX,1,1,88.2100,95.5800
DD,1,0,49.0100,54.8300
DE,9,11,148.1200,163.8200
DG,2,0,182.6200,193.7200
DHI,2,0,52.2400,59.2400
DIS,6,1,111.7100,121.5000
DISH,1,1,31.0346,37.8900
DOV,4,0,93.0200,101.7900
DPZ,5,0,368.8200,382.8400
DVA,5,0,76.2700,80.8400
DVN,1,0,11.8210,13.8800
EA,4,1,122.7100,131.2400
EBAY,15,5,46.6400,49.1000
ED,1,0,71.4400,78.1700
EMN,4,1,66.3400,73.4200
EOG,4,0,49.2700,55.4900
EQIX,4,0,661.8300,714.0000
ES,2,16,82.2900,86.7300
ETFC,3,0,45.7600,51.0500
ETN,1,0,82.9800,90.9700
EW,3,0,66.2300,71.1400
EXC,1,1,36.5800,39.7500
EXPE,1,1,78.1600,89.1800
FAST,0,1,39.1500,42.6500
FB,11,6,224.8000,240.8300
FBHS,2,0,56.0300,64.4100
FCX,6,9,9.7800,11.1900
FDX,3,7,127.2900,140.8800
FE,0,1,38.8700,41.7600
FFIV,2,3,134.4650,145.2000
FISV,1,0,97.6000,105.3400
FTI,3,0,7.5313,8.8550
FTNT,2,0,126.8800,140.0000
GD,9,11,144.5200,161.7900
GE,3,2,6.8500,7.7400
GIS,1,1,59.0400,62.4100
GM,3,5,26.3300,29.1800
GOOG,89,62,1387.9200,1460.0000
GPN,12,13,172.7000,187.5800
GPS,2,2,9.6300,11.7300
GS,36,18,195.1500,214.9800
HBAN,3,4,9.3900,10.5300
HBI,1,0,11.0300,12.4400
HCA,4,0,96.7300,109.3500
HD,8,1,234.3100,254.6200
HES,7,1,46.2600,53.5500
HFC,3,0,29.5500,33.7900
HIG,0,1,37.8500,43.0000
HPQ,23,3,15.6700,17.6100
IBM,13,5,118.2900,127.5000
ICE,0,5,90.7600,95.7600
INTC,7,3,58.5800,61.6500
IP,2,0,33.3900,36.8100
IPGP,1,0,151.4250,168.4100
IT,5,3,114.3600,125.7900
JBHT,1,1,110.2900,121.5100
JNJ,2,0,139.3914,145.8800
JPM,15,15,95.8700,105.6800
JWN,0,1,16.4300,20.1200
KEY,2,2,12.3800,14.1500
KO,6,1,44.4700,47.7900
KSS,2,1,21.1400,25.8400
MA,21,8,288.7500,309.5000
MAS,1,0,44.4400,49.2500
MCD,3,2,184.1300,193.5000
MCHP,2,0,96.5100,107.5800
MCK,1,0,144.4000,158.4400
MCO,1,2,260.5100,281.8000
MGM,8,4,17.6500,20.8500
MHK,1,2,92.4900,103.8200
MMM,1,0,150.4900,163.3800
MNST,1,1,66.6200,70.9500
MO,1,2,38.3400,41.9800
MOS,3,0,12.3400,14.2600
MPC,1,0,34.6100,41.8000
MS,10,4,44.6000,49.6000
MSFT,13,8,184.0100,199.2900
MSI,1,1,135.3884,144.5550
MTB,1,0,102.1400,116.1500
NDAQ,1,0,112.2300,122.1497
NEM,0,2,53.1600,57.5700
NKE,8,1,93.4400,101.3400
NOV,3,1,11.7300,13.5400
NOW,2,0,375.3700,407.9900
NVDA,32,3,349.7500,377.8000
OKE,1,0,32.2700,38.7800
PAYX,1,0,71.6800,78.0700
PEG,2,0,47.9200,52.1200
PEP,2,0,126.5300,134.8200
PFE,7,1,32.7200,33.9600
PG,3,1,113.7600,121.8200
PHM,3,3,32.4500,37.5200
PKG,4,0,94.7200,103.4800
PKI,2,0,94.5400,101.2000
PM,6,1,69.4900,75.3400
PPG,0,1,98.4100,107.8300
PSX,0,1,72.1000,78.9500
PXD,0,2,91.3800,100.5800
QCOM,11,2,83.1000,91.0850
SBAC,1,0,288.6000,307.5300
SCHW,6,0,35.1600,38.0000
SEE,1,0,29.3600,32.6999
SHW,2,0,535.9700,591.7750
SJM,1,0,103.0200,110.5800
SNA,0,2,129.4600,141.6600
SO,7,0,53.6100,58.0300
STT,3,0,60.0900,65.9600
STX,2,0,49.2600,52.6900
STZ,4,0,164.2500,189.3700
SWKS,3,0,122.8300,133.3650
SYK,1,0,181.2400,196.1700
TAP,0,1,36.5100,40.0150
TGT,2,4,115.2300,122.9300
TIF,2,0,118.1100,121.8700
TJX,5,0,50.1100,56.8600
TSCO,2,0,116.1300,128.3800
TSN,1,0,59.5300,65.6500
TT,2,0,87.2050,94.9000
TXN,3,0,120.8000,129.1300
VFC,3,2,58.4600,66.7600
VMC,2,0,107.0000,128.2400
VNO,0,1,38.1500,42.5400
VZ,7,1,55.2800,57.4700
WDC,1,0,40.7700,46.1100
WFC,11,3,26.5600,29.6500
WMB,2,0,17.4800,19.9300
WMT,9,11,117.0100,120.3000
WYNN,5,4,86.0400,98.1500
XOM,1,1,44.7500,49.7500
ZION,3,1,33.2500,37.9400
